Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A898170,Pepper,02/26/2024 11:21:00 AM,February 2024,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 months,Labrador Retriever Mix,Yellow/White
A898925,,02/26/2024 11:31:00 AM,February 2024,Barnhill Dr And Windy Trail in Austin (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Shorthair,Black/White
A831735,Baby,02/26/2024 11:45:00 AM,February 2024,1267 Clairmont Cove in Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,13 years,Chihuahua Shorthair Mix,White/Brown
A898936,Sweets,02/26/2024 11:51:00 AM,February 2024,2250 Ridgepoint Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair,Black/White
A783641,Chester,02/26/2024 11:51:00 AM,February 2024,2250 Ridgepoint Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Norfolk Terrier/Chihuahua Shorthair,Tan
A898939,*George,02/26/2024 12:16:00 PM,February 2024,Sleepy Hollow Drive in Travis (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair,Brown Tabby
A898940,Ellie,02/26/2024 12:16:00 PM,February 2024,Sleepy Hollow Drive in Travis (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Shorthair,White/Blue Tabby
A898943,*Gunther,02/26/2024 12:42:00 PM,February 2024,8903 Romayne Ln in Austin (TX),Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Orange Tabby
A898944,*Buttercup,02/26/2024 12:42:00 PM,February 2024,8903 Romayne Ln in Austin (TX),Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Torbie
A898945,*Bronte,02/26/2024 12:53:00 PM,February 2024,Cedar Ridge Drive And Crooked Lane in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Boxer/Labrador Retriever,Brown/White
A898947,,02/26/2024 01:21:00 PM,February 2024,Blue Water Drive in Austin (TX),Stray,Med Attn,Cat,Intact Male,1 year,Domestic Shorthair,Black/White
A898949,Jasper,02/26/2024 01:45:00 PM,February 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Pug,Black
A898962,*Sugar,02/26/2024 02:20:00 PM,February 2024,4705 East St Elmo Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A898961,,02/26/2024 02:20:00 PM,February 2024,4705 East St Elmo Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A898964,*Spice,02/26/2024 02:20:00 PM,February 2024,4705 East St Elmo Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A898963,*Marfa,02/26/2024 02:20:00 PM,February 2024,4705 East St Elmo Road in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby
A898960,Neola,02/26/2024 02:20:00 PM,February 2024,4705 East St Elmo Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A898958,,02/26/2024 02:24:00 PM,February 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Black
A898957,Bee,02/26/2024 02:24:00 PM,February 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Brown Tabby/Black
A898959,,02/26/2024 02:24:00 PM,February 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Brown Tabby
A898953,*Ranger,02/26/2024 02:32:00 PM,February 2024,9002 East Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A898954,*Phil,02/26/2024 02:32:00 PM,February 2024,9002 East Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A898955,*Pepsi,02/26/2024 02:32:00 PM,February 2024,9002 East Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A898952,*Dc,02/26/2024 02:32:00 PM,February 2024,9002 East Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A898956,*Marie,02/26/2024 02:32:00 PM,February 2024,9002 East Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Blue
A898966,,02/26/2024 03:22:00 PM,February 2024,701 Morrow Street in Austin (TX),Stray,Normal,Cat,Intact Female,9 months,Domestic Shorthair,Tortie
A684419,,02/26/2024 03:24:00 PM,February 2024,Dinsdale Lane in Austin (TX),Stray,Normal,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Brown Tabby
A898973,Thor,02/26/2024 04:11:00 PM,February 2024,4900 Easrt Oltorf Street in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Boxer/Dalmatian,White/Black
A893791,O'Hara,02/26/2024 04:34:00 PM,February 2024,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,15 years,Domestic Shorthair,Torbie
A898977,*Socks,02/26/2024 04:35:00 PM,February 2024,Dessau Ave And East Parmer Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull,Blue/White
A898978,,02/26/2024 04:39:00 PM,February 2024,628 Allen St in Austin (TX),Stray,Injured,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby/White
A898984,*Annabelle Bronstein,02/26/2024 05:37:00 PM,February 2024,3311 Tilmon in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown Brindle/Black
A898985,,02/26/2024 05:37:00 PM,February 2024,3311 Tilmon in Travis (TX),Stray,Normal,Dog,Intact Male,4 years,Pit Bull Mix,Red/Tan
A898986,,02/26/2024 05:38:00 PM,February 2024,4610 Interstate 35 Frontage Road Southbound in Austin (TX),Stray,Normal,Cat,Intact Female,6 days,Domestic Shorthair,Brown Tabby
A898987,,02/26/2024 05:38:00 PM,February 2024,4610 Interstate 35 Frontage Road Southbound in Austin (TX),Stray,Normal,Cat,Intact Male,6 days,Domestic Shorthair,White/Black
A776270,Canelo,02/26/2024 06:17:00 PM,February 2024,5610 Teri in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Pit Bull Mix,Fawn/White
A899000,Unknown,02/27/2024 08:11:00 AM,February 2024,3300 Killingsworth in Travis (TX),Stray,Sick,Cat,Unknown,9 months,Domestic Shorthair,Red/Orange Tabby
A899002,Gary,02/27/2024 09:30:00 AM,February 2024,1511 Cripple Creek Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Brown/Black
A899005,,02/27/2024 10:22:00 AM,February 2024,810 E Slaughter Ln in Austin (TX),Public Assist,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby
A899006,*Stewie,02/27/2024 10:22:00 AM,February 2024,810 E Slaughter Ln in Austin (TX),Public Assist,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Cream Tabby
A899009,Rockstar,02/27/2024 10:23:00 AM,February 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,6 years,German Shepherd,Tan/Black
A899010,,02/27/2024 10:53:00 AM,February 2024,600 South 1St St in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby/White
A896148,*Tangerine,02/27/2024 10:57:00 AM,February 2024,10500 Lakeline Mall Dr in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White
A845108,Nipsey,02/27/2024 11:01:00 AM,February 2024,15416 Jazzberry in Travis (TX),Stray,Normal,Cat,Neutered Male,3 years,Domestic Shorthair,White/Orange Tabby
A899013,,02/27/2024 11:13:00 AM,February 2024,Dessau Road In Woodline in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,German Shepherd/Labrador Retriever,Tan/Black
A899015,Zelda,02/27/2024 11:28:00 AM,February 2024,Austin (TX),Owner Surrender,Injured,Dog,Spayed Female,7 years,German Shepherd Mix,Brown/Tan
A899016,Draco,02/27/2024 11:32:00 AM,February 2024,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Great Pyrenees,White
A899018,,02/27/2024 12:20:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Calico
A899019,,02/27/2024 12:20:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Calico
A899020,*Penguin,02/27/2024 12:20:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Black/White
A899023,Moo,02/27/2024 12:26:00 PM,February 2024,Camden Gaines Ranch Road in Austin (TX),Stray,Normal,Cat,Spayed Female,9 years,Domestic Shorthair,Calico
A899021,*Josephine,02/27/2024 12:27:00 PM,February 2024,1112 Richardine Ave in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black/White
A899026,*Hubert,02/27/2024 01:27:00 PM,February 2024,10001 Burleson Rd in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby
A899030,*Caspian,02/27/2024 01:49:00 PM,February 2024,Gaines Mill Lane in Austin (TX),Stray,Injured,Cat,Neutered Male,1 year,Domestic Shorthair,Black
A899025,,02/27/2024 01:51:00 PM,February 2024,14003 Sleepy Hollow Drive in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Australian Cattle Dog,Blue Tick
A899034,,02/27/2024 02:11:00 PM,February 2024,5020 Manor Road in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Great Pyrenees Mix,White
A899038,*Beanie,02/27/2024 02:19:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair,White/Black
A899035,*Aiko,02/27/2024 02:19:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair,Calico
A899037,Sol,02/27/2024 02:23:00 PM,February 2024,Travis (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Medium Hair,Orange Tabby
A776269,Simba,02/27/2024 02:32:00 PM,February 2024,5600 Lark Creek Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Siberian Husky Mix,White
A899040,D-Bo,02/27/2024 03:02:00 PM,February 2024,Montopolis Dr And Larch Terr in Austin (TX),Stray,Injured,Dog,Neutered Male,12 years,Boxer,Black/White
A899049,,02/27/2024 03:17:00 PM,February 2024,4550 Mueller Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Pit Bull,Black/White
A899048,,02/27/2024 03:17:00 PM,February 2024,4550 Mueller Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Pit Bull,Black/White
A899046,,02/27/2024 03:17:00 PM,February 2024,4550 Mueller Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Pit Bull,Black/White
A899047,,02/27/2024 03:17:00 PM,February 2024,4550 Mueller Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Pit Bull,Black/White
A899054,*Camilla,02/27/2024 03:38:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A899056,*Sweetums,02/27/2024 03:38:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair,Seal Point/White
A899052,Yuki,02/27/2024 03:38:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,6 months,Domestic Shorthair,Calico Point
A736605,Oliver Sebastian,02/27/2024 03:59:00 PM,February 2024,Travis (TX),Owner Surrender,Normal,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Brown Tabby
A899053,Buddy,02/27/2024 04:54:00 PM,February 2024,1004 Cottage Bank Trail in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull,Blue/White
A899058,Biscotti,02/27/2024 05:19:00 PM,February 2024,11612 Prince Phillip Way in Travis (TX),Stray,Normal,Dog,Spayed Female,1 year,Labrador Retriever,Brown
A899060,Hero,02/27/2024 05:31:00 PM,February 2024,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,6 years,German Shepherd,Black
A898233,Matteo,02/27/2024 06:07:00 PM,February 2024,Outside Jurisdiction,Owner Surrender,Normal,Cat,Neutered Male,5 months,Domestic Shorthair,Cream Tabby/White
A899063,,02/27/2024 06:48:00 PM,February 2024,4610 S Ih 35 in Austin (TX),Stray,Feral,Cat,Intact Male,1 year,Domestic Medium Hair,Black/White
A899065,Red,02/28/2024 08:00:00 AM,February 2024,Doyle Overton Road in Travis (TX),Stray,Injured,Dog,Intact Male,5 years,Border Collie/Great Pyrenees,Red/White
A899080,Biggie,02/28/2024 10:17:00 AM,February 2024,3101 French Place in Austin (TX),Stray,Normal,Cat,Intact Male,4 years,Domestic Shorthair,Brown Tabby
A890801,*Scarlett,02/28/2024 10:28:00 AM,February 2024,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,10 months,Belgian Malinois,Tan/Black
A899081,Baby,02/28/2024 11:32:00 AM,February 2024,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Pit Bull,Brown Brindle/White
A899079,Murphy,02/28/2024 11:32:00 AM,February 2024,East Powell Lane in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,West Highland/Miniature Poodle,White
A886931,Enzo,02/28/2024 11:44:00 AM,February 2024,4314 Gillis Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Brown/Black
A899082,,02/28/2024 11:46:00 AM,February 2024,812 S Hwy 183 in Austin (TX),Stray,Injured,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby
A899086,Molly,02/28/2024 12:18:00 PM,February 2024,Carver Avenue And Booker Avenue in Austin (TX),Stray,Normal,Cat,Spayed Female,8 years,Domestic Shorthair,Tortie
A899089,Unknown,02/28/2024 12:44:00 PM,February 2024,3302 Vintage Hills Cv in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Lizard,Green/Black
A899092,*Richard,02/28/2024 01:14:00 PM,February 2024,6936 E Ben White Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Brown/Black
A899100,*Petunia,02/28/2024 01:47:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,10 months,Domestic Shorthair,Calico
A899099,*Janice,02/28/2024 01:47:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,9 months,Domestic Shorthair,Calico
A899101,Pumpkin,02/28/2024 01:47:00 PM,February 2024,89 N Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,9 months,Domestic Shorthair,Orange Tabby/White
A899102,*Gelato,02/28/2024 02:12:00 PM,February 2024,4410 Sooner Street in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull/Great Pyrenees,White/Black
A899109,Mary Alice,02/28/2024 02:41:00 PM,February 2024,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever,Black
A899111,Jax,02/28/2024 02:41:00 PM,February 2024,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Labrador Retriever,Black
A899110,Amira,02/28/2024 02:41:00 PM,February 2024,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever,Black
A899107,,02/28/2024 02:45:00 PM,February 2024,701 Brazos Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Black
A899108,Tatsumi,02/28/2024 03:00:00 PM,February 2024,6808 South Ih 35 in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby
A891261,Roddy,02/28/2024 04:14:00 PM,February 2024,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Siberian Husky,Black/White
A899113,Charlie,02/28/2024 04:16:00 PM,February 2024,15331 Sweet Caddies Dr in Pflugerville (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair,Orange Tabby/White
A899119,,02/28/2024 04:44:00 PM,February 2024,Hudson Bend Road And Ranch Road 620 in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Black/Tan Hound Mix,Black/Brown
A899118,,02/28/2024 04:50:00 PM,February 2024,Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A899123,Khaleesi,02/28/2024 04:52:00 PM,February 2024,5800 Techni Center Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair,Tricolor
A899124,Tank,02/28/2024 04:52:00 PM,February 2024,5800 Techni Center Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Boxer Mix,Red/White
A899126,Honey,02/28/2024 06:15:00 PM,February 2024,Manda Carlson Rd in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Black Mouth Cur Mix,Brown/Black
A899134,,02/29/2024 07:53:00 AM,February 2024,Captial Of Texas Highway in Austin (TX),Stray,Sick,Dog,Neutered Male,5 years,Siberian Husky,Black/White
A899136,*Norma,02/29/2024 09:57:00 AM,February 2024,4803 Pewter Ln in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,German Shepherd Mix,Black/White
A899139,*Raptor,02/29/2024 09:58:00 AM,February 2024,1705 Frontier Valley Dr in Austin (TX),Abandoned,Normal,Dog,Intact Male,11 months,Australian Cattle Dog Mix,Black/Tan
A899137,,02/29/2024 10:13:00 AM,February 2024,8806 Redfield Ln in Austin (TX),Stray,Normal,Other,Intact Female,2 months,Rabbit Sh,Black
A899141,*Delphie,02/29/2024 11:30:00 AM,February 2024,1124 Rutland Dr in Austin (TX),Stray,Injured,Dog,Intact Female,9 months,Pit Bull Mix,White
A899153,,02/29/2024 11:45:00 AM,February 2024,Austin (TX),Stray,Sick,Cat,Unknown,5 years,Domestic Shorthair,White/Brown Tabby
A899152,,02/29/2024 11:47:00 AM,February 2024,12201 Conrad Road in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair,Orange Tabby
A899155,Mr. Bob,02/29/2024 11:49:00 AM,February 2024,3012 Guerrero in Travis (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair,White/Black
A899145,,02/29/2024 11:58:00 AM,February 2024,10564 Becker Lane in Travis (TX),Stray,Sick,Dog,Intact Male,2 years,German Shepherd,Black/Brown
A898570,Leche,02/29/2024 12:21:00 PM,February 2024,1221 W Parmer Ln in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair,Tan/White
A899161,Nyxie,02/29/2024 01:13:00 PM,February 2024,14001 Madrogal Ln in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Pit Bull Mix,Black/White
A899160,Pepper,02/29/2024 01:18:00 PM,February 2024,Austin (TX),Owner Surrender,Normal,Other,Intact Female,7 years,Rabbit Sh,White/Gray
A899174,*Alberta,02/29/2024 02:17:00 PM,February 2024,14221 Jeannette Rankin Rd in Manor (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull,Tricolor/White
A899175,*Einstein,02/29/2024 02:17:00 PM,February 2024,14221 Jeannette Rankin Rd in Manor (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull,Brown Brindle/White
A899170,Dr. Derp,02/29/2024 02:38:00 PM,February 2024,8601 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Labrador Retriever/Great Dane,Black
A899176,*Mejia,02/29/2024 02:44:00 PM,February 2024,5303 Woodland Oaks Ct in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White
A899179,*Marcia,02/29/2024 02:50:00 PM,February 2024,12701 Sandeen Rd in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,German Shepherd Mix,Tan/Black
A899178,Jager,02/29/2024 02:50:00 PM,February 2024,12701 Sandeen Rd in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,German Shepherd Mix,Tan/Black
A899181,*Maria,02/29/2024 02:50:00 PM,February 2024,12701 Sandeen Rd in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,German Shepherd Mix,Black/Tan
A899180,*Mariah,02/29/2024 02:50:00 PM,February 2024,12701 Sandeen Rd in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,German Shepherd Mix,Tan/Black
A899177,,02/29/2024 02:55:00 PM,February 2024,2412 Canterbury in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Australian Cattle Dog,Red Tick
A899189,Balu,02/29/2024 05:29:00 PM,February 2024,3545 Greystone Dr in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Labrador Retriever Mix,White
A899193,,02/29/2024 05:43:00 PM,February 2024,1930 W Rundberg Ln Unit 1413 in Austin (TX),Stray,Normal,Cat,Unknown,3 years,Domestic Shorthair,Orange Tabby/White
A899191,*Starla,02/29/2024 05:57:00 PM,February 2024,117 San Jacinto Boulevard in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Calico
A899192,,02/29/2024 06:10:00 PM,February 2024,Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A899204,Summer,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Gold/Tan
A899203,Hank,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Gold/Tan
A899199,*Bravo,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Gold/Tan
A899205,*Hotel,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Gold/Tan
A899200,*Charli,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Gold/Tan
A899201,*Delta,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Gold/Tan
A899198,*Alpha,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Gold/Tan
A899202,Tango,02/29/2024 06:45:00 PM,February 2024,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Gold/Tan
A899206,,02/29/2024 07:30:00 PM,February 2024,Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A889821,*Hammond,02/29/2024 08:30:00 PM,February 2024,2801 W Wells Branch Pkwy in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Cairn Terrier/Bruss Griffon,Buff
A899213,Pekoe,03/01/2024 12:14:00 AM,March 2024,2200 Tabor Ct in Austin (TX),Stray,Injured,Dog,Intact Female,1 year,Chihuahua Shorthair/Dachshund,Red
A899223,*Bradley,03/01/2024 08:44:00 AM,March 2024,9900 S Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black
A899226,Hekate,03/01/2024 09:21:00 AM,March 2024,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Intact Female,2 months,American Pit Bull Terrier Mix,Black/White
A899225,Bean,03/01/2024 09:21:00 AM,March 2024,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Intact Male,2 months,American Pit Bull Terrier Mix,Tan/White
A899227,*Dorris,03/01/2024 09:21:00 AM,March 2024,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Intact Female,2 months,American Pit Bull Terrier Mix,Tan/White
A899224,Prince,03/01/2024 09:21:00 AM,March 2024,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Intact Male,2 months,American Pit Bull Terrier Mix,Black/White
A510858,Shiva,03/01/2024 10:47:00 AM,March 2024,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Black
A899232,,03/01/2024 11:01:00 AM,March 2024,13359 Pond Springs Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Siamese,Seal Point
A899230,*Gumdrop,03/01/2024 11:03:00 AM,March 2024,7001 Creedmoor Drive in Travis (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A899231,Jade,03/01/2024 11:03:00 AM,March 2024,7001 Creedmoor Drive in Travis (TX),Stray,Normal,Cat,Intact Female,9 months,Domestic Longhair Mix,White/Blue
A899237,*Toro,03/01/2024 11:20:00 AM,March 2024,Chestnut Avenue in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Gray Tabby/White
A899233,Bella,03/01/2024 11:29:00 AM,March 2024,10525 Wildhorse Ranch Trl in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black
A899234,*Lenny,03/01/2024 11:30:00 AM,March 2024,3503 Susquehanna Ln in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Shorthair,Brown Tabby/White
A899241,97 Grams,03/01/2024 11:34:00 AM,March 2024,Austin (TX),Stray,Normal,Cat,Intact Female,3 days,Domestic Shorthair,Black/White
A899240,96 Grams,03/01/2024 11:34:00 AM,March 2024,Austin (TX),Stray,Normal,Cat,Intact Male,3 days,Domestic Shorthair,Brown Tabby/White
A899250,Fergie,03/01/2024 11:54:00 AM,March 2024,8312 Fathom Circle in Austin (TX),Stray,Sick,Dog,Spayed Female,15 years,Chihuahua Shorthair Mix,White/Brown
A899246,Tigger,03/01/2024 12:19:00 PM,March 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Pit Bull,Blue/White
A817690,Piggy Smalls,03/01/2024 12:31:00 PM,March 2024,1203 Payne Avenue in Austin (TX),Stray,Normal,Livestock,Intact Male,4 years,Pig,Black/White
A897281,Murphy,03/01/2024 01:13:00 PM,March 2024,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,11 months,Pit Bull Mix,Blue/Gray
A899256,,03/01/2024 01:16:00 PM,March 2024,1930 W Rundberg Ln Unit 1413 in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Shorthair,Orange Tabby
A899254,Eamonn,03/01/2024 01:37:00 PM,March 2024,Cottonmouth School Road in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever/Great Pyrenees,White
A899260,Lucas,03/01/2024 01:47:00 PM,March 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Pug Mix,Fawn
A899261,,03/01/2024 01:48:00 PM,March 2024,6831 William Wallace Way in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Black
A899264,Blue,03/01/2024 02:12:00 PM,March 2024,1903 Pennsylvania Ave in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Pit Bull,Tan/White
A898024,*Bonnie,03/01/2024 02:34:00 PM,March 2024,Patton Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White
A899270,Pearl,03/01/2024 02:44:00 PM,March 2024,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby
