"","Animal ID","Name","IntakeType","IntakeCondition","AnimalType","Sex","Age","OutcomeType","OutcomeDate","LengthofStay","DOB","log_LOS","log_Age","sqrt_Age","Adoption","age2"
"320","A873684","Bravo","Stray","Medical","Dog","Neutered Male",1,"Return to Owner",2024-04-08,14,2022-09-29,2.70805020110221,0.301029995663981,0.693147180559945,0,1
"321","A874032","Baxter","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-07-26,57,2022-07-21,4.06044301054642,0.477121254719662,0.881373587019543,1,1.4142135623731
"322","A874084","Max","Owner Surrender","Normal","Cat","Neutered Male",3,"Adoption",2024-11-30,186,2021-02-06,5.23110861685459,0.602059991327962,1.00505253874238,1,1.73205080756888
"323","A874424","*Deedle","Public Assist","Medical","Dog","Neutered Male",3,"Adoption",2024-05-30,13,2021-03-24,2.63905732961526,0.602059991327962,1.00505253874238,1,1.73205080756888
"324","A874977","Money","Owner Surrender","Normal","Dog","Neutered Male",3,"Adoption",2024-01-31,3,2020-10-29,1.38629436111989,0.602059991327962,1.00505253874238,1,1.73205080756888
"325","A874978","Big Red","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-02-05,8,2021-02-21,2.19722457733622,0.477121254719662,0.881373587019543,1,1.4142135623731
"326","A874984","Morgan","Owner Surrender","Normal","Dog","Intact Female",1,"Rto-Adopt",2024-02-14,17,2022-11-21,2.89037175789616,0.301029995663981,0.693147180559945,0,1
"327","A875909","Tofu","Stray","Normal","Dog","Intact Female",1,"Adoption",2024-02-06,8,2022-12-30,2.19722457733622,0.301029995663981,0.693147180559945,1,1
"328","A875942","Mika Mutt","Stray","Medical","Dog","Intact Female",3,"Euthanasia",2024-06-17,1,2021-03-07,0.693147180559945,0.602059991327962,1.00505253874238,0,1.73205080756888
"329","A875950","*Luna Juna","Owner Surrender","Normal","Dog","Spayed Female",3,"Adoption",2024-08-31,27,2021-03-07,3.3322045101752,0.602059991327962,1.00505253874238,1,1.73205080756888
"330","A876035","Truffle","Stray","Normal","Dog","Neutered Male",1,"Adoption",2024-03-28,21,2023-01-08,3.09104245335832,0.301029995663981,0.693147180559945,1,1
"331","A876233","Beans","Owner Surrender","Normal","Dog","Neutered Male",5,"Adoption",2024-12-06,238,2019-03-11,5.47646355193151,0.778151250383644,1.17435900561955,1,2.23606797749979
"332","A876313","Lil Baby","Stray","Normal","Dog","Intact Female",2,"Transfer",2024-06-27,52,2022-06-13,3.97029191355212,0.477121254719662,0.881373587019543,0,1.4142135623731
"333","A876878","*Bison","Stray","Normal","Dog","Neutered Male",2,"Adoption",2024-06-20,10,2021-09-21,2.39789527279837,0.477121254719662,0.881373587019543,1,1.4142135623731
"334","A876966","*Marty","Owner Surrender","Normal","Dog","Neutered Male",3,"Adoption",2024-03-30,2,2021-03-22,1.09861228866811,0.602059991327962,1.00505253874238,1,1.73205080756888
"335","A877031","Fendi","Public Assist","Normal","Dog","Intact Female",2,"Return to Owner",2024-07-18,6,2022-05-23,1.94591014905531,0.477121254719662,0.881373587019543,0,1.4142135623731
"336","A877165","Ghandi","Owner Surrender","Normal","Cat","Neutered Male",2,"Adoption",2024-01-25,6,2021-03-24,1.94591014905531,0.477121254719662,0.881373587019543,1,1.4142135623731
"337","A877241","*Cooper","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-06-25,53,2023-01-24,3.98898404656427,0.301029995663981,0.693147180559945,1,1
"338","A877241","*Cooper","Public Assist","Normal","Dog","Neutered Male",1,"Return to Owner",2024-03-02,0,2023-01-24,0,0.301029995663981,0.693147180559945,0,1
"339","A877586","Shadow","Stray","Normal","Dog","Neutered Male",4,"Adoption",2024-08-31,170,2020-08-29,5.14166355650266,0.698970004336019,1.09861228866811,1,2
"340","A878502","Scrappy","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-01-25,9,2022-09-12,2.30258509299405,0.301029995663981,0.693147180559945,1,1
"341","A878531","Savage","Owner Surrender","Normal","Dog","Intact Male",3,"Adoption",2024-06-18,7,2021-04-13,2.07944154167984,0.602059991327962,1.00505253874238,1,1.73205080756888
"342","A878603","Wisdom","Stray","Normal","Dog","Spayed Female",1,"Return to Owner",2024-06-21,10,2022-07-14,2.39789527279837,0.301029995663981,0.693147180559945,0,1
"343","A878603","Wisdom","Stray","Normal","Dog","Spayed Female",1,"Return to Owner",2024-06-11,0,2022-07-14,0,0.301029995663981,0.693147180559945,0,1
"344","A878603","Wisdom","Stray","Normal","Dog","Spayed Female",1,"Return to Owner",2024-06-21,2,2022-07-14,1.09861228866811,0.301029995663981,0.693147180559945,0,1
"345","A878603","Wisdom","Stray","Normal","Dog","Spayed Female",1,"Return to Owner",2024-06-11,5,2022-07-14,1.79175946922805,0.301029995663981,0.693147180559945,0,1
"346","A878603","Wisdom","Stray","Normal","Dog","Spayed Female",1,"Return to Owner",2024-06-09,3,2022-07-14,1.38629436111989,0.301029995663981,0.693147180559945,0,1
"347","A878604","Champ","Stray","Normal","Dog","Neutered Male",1,"Return to Owner",2024-06-11,0,2022-07-14,0,0.301029995663981,0.693147180559945,0,1
"348","A878604","Champ","Stray","Normal","Dog","Neutered Male",1,"Return to Owner",2024-06-21,10,2022-07-14,2.39789527279837,0.301029995663981,0.693147180559945,0,1
"349","A878604","Champ","Stray","Normal","Dog","Neutered Male",1,"Return to Owner",2024-06-21,2,2022-07-14,1.09861228866811,0.301029995663981,0.693147180559945,0,1
"350","A878604","Champ","Stray","Normal","Dog","Neutered Male",1,"Return to Owner",2024-06-09,3,2022-07-14,1.38629436111989,0.301029995663981,0.693147180559945,0,1
"351","A878604","Champ","Stray","Normal","Dog","Neutered Male",1,"Return to Owner",2024-06-11,5,2022-07-14,1.79175946922805,0.301029995663981,0.693147180559945,0,1
"352","A879053","Toaster Strudel","Stray","Normal","Dog","Neutered Male",1,"Return to Owner",2024-12-12,1,2023-03-07,0.693147180559945,0.301029995663981,0.693147180559945,0,1
"353","A879493","Marcy","Owner Surrender","Medical","Dog","Intact Female",2,"Adoption",2024-07-24,96,2021-10-26,4.57471097850338,0.477121254719662,0.881373587019543,1,1.4142135623731
"354","A880316","Hennesey","Public Assist","Normal","Dog","Intact Male",2,"Return to Owner",2024-01-09,7,2021-05-07,2.07944154167984,0.477121254719662,0.881373587019543,0,1.4142135623731
"355","A880340","*Kirk","Owner Surrender","Normal","Cat","Neutered Male",1,"Transfer",2024-07-11,35,2023-04-11,3.58351893845611,0.301029995663981,0.693147180559945,0,1
"356","A880547","Naomi","Stray","Normal","Dog","Intact Female",2,"Adoption",2024-09-10,12,2022-05-10,2.56494935746154,0.477121254719662,0.881373587019543,1,1.4142135623731
"357","A880562","*Darla","Owner Surrender","Normal","Dog","Spayed Female",3,"Adoption",2024-07-13,187,2021-05-10,5.23644196282995,0.602059991327962,1.00505253874238,1,1.73205080756888
"358","A880723","Ginger","Owner Surrender","Normal","Cat","Spayed Female",0.666666666666667,"Adoption",2024-01-12,1,2023-05-11,0.693147180559945,0.221848749616356,0.596909690446534,1,0.816496580927726
"359","A880743","Milo","Stray","Normal","Dog","Intact Male",3,"Return to Owner",2024-09-06,1,2021-05-14,0.693147180559945,0.602059991327962,1.00505253874238,0,1.73205080756888
"360","A880768","Milo","Stray","Normal","Dog","Neutered Male",1,"Adoption",2024-03-23,46,2023-03-21,3.85014760171006,0.301029995663981,0.693147180559945,1,1
"361","A880827","Max","Stray","Normal","Dog","Intact Male",1,"Return to Owner",2024-02-27,2,2022-05-15,1.09861228866811,0.301029995663981,0.693147180559945,0,1
"362","A880827","Max","Stray","Medical","Dog","Neutered Male",1,"Adoption",2024-04-28,56,2022-05-15,4.04305126783455,0.301029995663981,0.693147180559945,1,1
"363","A880897","Seagull","Stray","Normal","Cat","Neutered Male",1,"Rto-Adopt",2024-04-01,14,2022-05-15,2.70805020110221,0.301029995663981,0.693147180559945,0,1
"364","A880908","*Arthur","Stray","Normal","Dog","Neutered Male",1,"Adoption",2024-11-22,49,2023-02-27,3.91202300542815,0.301029995663981,0.693147180559945,1,1
"365","A881177","*Thurman","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-04-14,69,2021-05-18,4.24849524204936,0.477121254719662,0.881373587019543,1,1.4142135623731
"366","A881427","Hunter","Abandoned","Normal","Cat","Neutered Male",1,"Adoption",2024-04-04,4,2023-03-22,1.6094379124341,0.301029995663981,0.693147180559945,1,1
"367","A882236","Duke","Stray","Normal","Dog","Intact Male",1,"Return to Owner",2024-01-02,1,2023-01-02,0.693147180559945,0.301029995663981,0.693147180559945,0,1
"368","A882480","Everest","Owner Surrender","Normal","Other","Intact Male",1,"Adoption",2024-03-16,11,2023-02-05,2.484906649788,0.301029995663981,0.693147180559945,1,1
"369","A882727","Blaze","Owner Surrender","Normal","Cat","Neutered Male",1,"Adoption",2024-10-05,43,2023-04-06,3.78418963391826,0.301029995663981,0.693147180559945,1,1
"370","A882845","*Forest","Owner Surrender","Medical","Dog","Neutered Male",1,"Transfer",2024-10-31,14,2023-03-09,2.70805020110221,0.301029995663981,0.693147180559945,0,1
"371","A882845","*Forest","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-10-14,45,2023-03-09,3.8286413964891,0.301029995663981,0.693147180559945,1,1
"372","A882906","Blue","Owner Surrender","Medical","Dog","Neutered Male",5,"Transfer",2024-04-24,1,2019-04-23,0.693147180559945,0.778151250383644,1.17435900561955,0,2.23606797749979
"373","A882961","Toby","Public Assist","Normal","Dog","Intact Male",3,"Euthanasia",2024-10-18,63,2021-06-11,4.15888308335967,0.602059991327962,1.00505253874238,0,1.73205080756888
"374","A883070","Ms Beauty","Public Assist","Normal","Dog","Spayed Female",2,"Return to Owner",2024-01-18,3,2021-06-13,1.38629436111989,0.477121254719662,0.881373587019543,0,1.4142135623731
"375","A883338","Duke","Owner Surrender","Normal","Dog","Neutered Male",1,"Return to Owner",2024-02-21,47,2022-06-16,3.87120101090789,0.301029995663981,0.693147180559945,0,1
"376","A883517","*Sable","Owner Surrender","Normal","Dog","Spayed Female",3,"Adoption",2024-06-25,21,2021-06-20,3.09104245335832,0.602059991327962,1.00505253874238,1,1.73205080756888
"377","A883648","Zeus","Stray","Normal","Dog","Intact Male",2,"Rto-Adopt",2024-04-29,3,2021-06-21,1.38629436111989,0.477121254719662,0.881373587019543,0,1.4142135623731
"378","A883809","Oz","Stray","Medical","Dog","Spayed Female",2,"Adoption",2024-10-16,110,2022-06-23,4.70953020131233,0.477121254719662,0.881373587019543,1,1.4142135623731
"379","A884009","*Gus","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-04-18,1,2022-01-27,0.693147180559945,0.477121254719662,0.881373587019543,1,1.4142135623731
"380","A884109","Buddy Gumdrops","Stray","Normal","Dog","Intact Male",1,"Adoption",2024-02-07,5,2022-12-02,1.79175946922805,0.301029995663981,0.693147180559945,1,1
"381","A884135","*Sir Ramble Brambleton","Stray","Medical","Dog","Intact Male",2,"Adoption",2024-12-10,269,2022-08-29,5.59842195899838,0.477121254719662,0.881373587019543,1,1.4142135623731
"382","A884177","Krea","Public Assist","Normal","Dog","Spayed Female",1,"Adoption",2024-05-18,15,2022-07-29,2.77258872223978,0.301029995663981,0.693147180559945,1,1
"383","A884273","Moolah","Stray","Medical","Cat","Intact Male",1,"Return to Owner",2024-09-16,0,2022-12-30,0,0.301029995663981,0.693147180559945,0,1
"384","A884494","Cheeseburger","Owner Surrender","Normal","Cat","Neutered Male",1,"Adoption",2024-02-27,4,2022-07-03,1.6094379124341,0.301029995663981,0.693147180559945,1,1
"385","A884537","Puppy","Stray","Normal","Dog","Intact Female",7,"Adoption",2024-06-28,50,2017-05-09,3.93182563272433,0.903089986991944,1.29356246522598,1,2.64575131106459
"386","A884594","Gordo","Stray","Normal","Dog","Intact Male",2,"Return to Owner",2024-03-08,3,2021-07-05,1.38629436111989,0.477121254719662,0.881373587019543,0,1.4142135623731
"387","A884594","Gordo","Stray","Normal","Dog","Intact Male",2,"Return to Owner",2024-02-08,2,2021-07-05,1.09861228866811,0.477121254719662,0.881373587019543,0,1.4142135623731
"388","A885070","*Gracie","Owner Surrender","Normal","Cat","Spayed Female",3,"Adoption",2024-08-22,3,2021-07-12,1.38629436111989,0.602059991327962,1.00505253874238,1,1.73205080756888
"389","A885194","Starlight*","Stray","Medical","Dog","Intact Female",1,"Transfer",2024-05-03,7,2023-04-29,2.07944154167984,0.301029995663981,0.693147180559945,0,1
"390","A885508","Ollie","Public Assist","Normal","Dog","Neutered Male",6,"Return to Owner",2024-10-08,6,2018-07-20,1.94591014905531,0.845098040014257,1.23822631946233,0,2.44948974278318
"391","A885682","Canelo","Stray","Normal","Dog","Intact Male",1,"Return to Owner",2024-03-13,1,2022-07-23,0.693147180559945,0.301029995663981,0.693147180559945,0,1
"392","A886029","*Yondu","Owner Surrender","Medical","Dog","Neutered Male",6,"Transfer",2024-12-12,155,2018-07-29,5.04985600724954,0.845098040014257,1.23822631946233,0,2.44948974278318
"393","A886120","*Big Joe","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-04-10,49,2021-07-31,3.91202300542815,0.477121254719662,0.881373587019543,1,1.4142135623731
"394","A886120","*Big Joe","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-01-30,22,2021-07-31,3.13549421592915,0.477121254719662,0.881373587019543,1,1.4142135623731
"395","A886169","Chuky","Stray","Medical","Dog","Intact Male",2,"Return to Owner",2024-05-28,3,2021-08-01,1.38629436111989,0.477121254719662,0.881373587019543,0,1.4142135623731
"396","A886169","Chuky","Stray","Normal","Dog","Intact Male",2,"Return to Owner",2024-04-03,0,2021-08-01,0,0.477121254719662,0.881373587019543,0,1.4142135623731
"397","A886484","Booboo","Public Assist","Medical","Dog","Intact Male",3,"Rto-Adopt",2024-02-29,11,2020-08-06,2.484906649788,0.602059991327962,1.00505253874238,0,1.73205080756888
"398","A886931","Enzo","Stray","Normal","Dog","Neutered Male",1,"Adoption",2024-03-04,5,2023-02-26,1.79175946922805,0.301029995663981,0.693147180559945,1,1
"399","A887377","*Magnolia","Stray","Normal","Dog","Intact Female",2,"Adoption",2024-06-08,80,2021-08-20,4.39444915467244,0.477121254719662,0.881373587019543,1,1.4142135623731
"400","A887378","Zeus","Stray","Normal","Dog","Intact Male",2,"Adoption",2024-03-30,10,2021-08-20,2.39789527279837,0.477121254719662,0.881373587019543,1,1.4142135623731
"401","A887523","Goldie","Stray","Normal","Cat","Spayed Female",3,"Transfer",2024-11-04,6,2021-08-22,1.94591014905531,0.602059991327962,1.00505253874238,0,1.73205080756888
"402","A887525","Venus","Public Assist","Normal","Dog","Spayed Female",1,"Return to Owner",2024-06-21,4,2023-06-18,1.6094379124341,0.301029995663981,0.693147180559945,0,1
"403","A887527","Juke","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-09-18,51,2023-06-18,3.95124371858143,0.301029995663981,0.693147180559945,1,1
"404","A887704","Lina","Stray","Normal","Dog","Spayed Female",2,"Return to Owner",2024-03-09,0,2021-08-25,0,0.477121254719662,0.881373587019543,0,1.4142135623731
"405","A888225","*Blues Clues","Public Assist","Normal","Dog","Intact Male",3,"Transfer",2024-10-22,62,2021-09-02,4.14313472639153,0.602059991327962,1.00505253874238,0,1.73205080756888
"406","A888427","Bruce Wayne","Abandoned","Normal","Dog","Neutered Male",1,"Adoption",2024-03-30,13,2022-11-06,2.63905732961526,0.301029995663981,0.693147180559945,1,1
"407","A889001","Toby","Stray","Normal","Dog","Intact Male",1,"Adoption",2024-08-08,56,2022-09-15,4.04305126783455,0.301029995663981,0.693147180559945,1,1
"408","A889092","Rocko","Owner Surrender","Medical","Dog","Neutered Male",1,"Adoption",2024-09-20,3,2022-10-21,1.38629436111989,0.301029995663981,0.693147180559945,1,1
"409","A889106","*Wendel","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-04-23,88,2021-09-17,4.48863636973214,0.477121254719662,0.881373587019543,1,1.4142135623731
"410","A889184","*Copper","Owner Surrender","Normal","Cat","Neutered Male",1,"Adoption",2024-11-22,8,2023-04-03,2.19722457733622,0.301029995663981,0.693147180559945,1,1
"411","A889203","Ollie","Owner Surrender","Normal","Cat","Neutered Male",1,"Adoption",2024-04-05,2,2023-03-18,1.09861228866811,0.301029995663981,0.693147180559945,1,1
"412","A889595","Ayla","Stray","Normal","Dog","Spayed Female",0.333333333333333,"Adoption",2024-01-14,11,2023-09-03,2.484906649788,0.1249387366083,0.455746394408326,1,0.577350269189626
"413","A889655","Loki","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-06-12,27,2023-06-10,3.3322045101752,0.301029995663981,0.693147180559945,1,1
"414","A889655","Loki","Owner Surrender","Normal","Dog","Neutered Male",0.833333333333333,"Adoption",2024-05-02,0,2023-06-10,0,0.263241434774581,0.648605217808274,1,0.912870929175277
"415","A889681","Nala","Owner Surrender","Normal","Dog","Spayed Female",0.5,"Adoption",2024-01-24,2,2023-07-18,1.09861228866811,0.176091259055681,0.53479999673957,1,0.707106781186548
"416","A889711","Phoenix","Owner Surrender","Normal","Dog","Intact Male",1,"Adoption",2024-10-13,163,2023-07-02,5.0998664278242,0.301029995663981,0.693147180559945,1,1
"417","A889711","Phoenix","Public Assist","Normal","Dog","Intact Male",0.666666666666667,"Return to Owner",2024-03-02,0,2023-07-02,0,0.221848749616356,0.596909690446534,0,0.816496580927726
"418","A889728","Levi","Stray","Medical","Cat","Neutered Male",0.916666666666667,"Adoption",2024-05-30,110,2023-06-26,4.70953020131233,0.282546589969968,0.67163091077255,1,0.957427107756338
"419","A889805","Bluey","Stray","Normal","Dog","Neutered Male",2,"Adoption",2024-12-20,14,2022-10-26,2.70805020110221,0.477121254719662,0.881373587019543,1,1.4142135623731
"420","A889819","Gus","Abandoned","Medical","Dog","Neutered Male",1,"Adoption",2024-06-08,37,2022-09-28,3.63758615972639,0.301029995663981,0.693147180559945,1,1
"421","A889821","*Hammond","Stray","Normal","Dog","Neutered Male",1,"Transfer",2024-04-09,40,2022-09-28,3.71357206670431,0.301029995663981,0.693147180559945,0,1
"422","A889822","Kasche","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-02-25,4,2021-09-28,1.6094379124341,0.477121254719662,0.881373587019543,1,1.4142135623731
"423","A889857","Princess Rahja","Owner Surrender","Normal","Cat","Spayed Female",9,"Adoption",2024-10-11,11,2015-09-28,2.484906649788,1,1.38629436111989,1,3
"424","A889917","Chip","Stray","Normal","Cat","Spayed Female",1,"Return to Owner",2024-11-06,2,2023-08-14,1.09861228866811,0.301029995663981,0.693147180559945,0,1
"425","A889962","*Pesto","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-02-10,8,2021-10-03,2.19722457733622,0.477121254719662,0.881373587019543,1,1.4142135623731
"426","A889962","*Pesto","Owner Surrender","Normal","Dog","Neutered Male",2,"Transfer",2024-07-08,147,2021-10-03,4.99721227376411,0.477121254719662,0.881373587019543,0,1.4142135623731
"427","A890107","Mike","Owner Surrender","Normal","Dog","Intact Male",0.833333333333333,"Adoption",2024-05-06,6,2023-07-02,1.94591014905531,0.263241434774581,0.648605217808274,1,0.912870929175277
"428","A890215","*Izzy","Owner Surrender","Medical","Cat","Spayed Female",1,"Transfer",2024-06-27,3,2023-02-03,1.38629436111989,0.301029995663981,0.693147180559945,0,1
"429","A890261","Scout","Owner Surrender","Normal","Dog","Neutered Male",4,"Adoption",2024-03-14,72,2019-10-04,4.29045944114839,0.698970004336019,1.09861228866811,1,2
"430","A890293","*Mauritius","Owner Surrender","Normal","Cat","Neutered Male",0.583333333333333,"Adoption",2024-02-02,0,2023-07-04,0,0.199572354905204,0.567449377001813,1,0.763762615825973
"431","A890341","Clover","Owner Surrender","Normal","Cat","Neutered Male",0.75,"Adoption",2024-01-22,17,2023-04-09,2.89037175789616,0.243038048686294,0.623810716364871,1,0.866025403784439
"432","A890429","Milo","Stray","Normal","Dog","Neutered Male",2,"Return to Owner",2024-02-27,3,2021-10-06,1.38629436111989,0.477121254719662,0.881373587019543,0,1.4142135623731
"433","A890574","Mimu","Owner Surrender","Normal","Cat","Spayed Female",1,"Adoption",2024-10-31,3,2023-09-17,1.38629436111989,0.301029995663981,0.693147180559945,1,1
"434","A890582","Nova","Owner Surrender","Normal","Cat","Spayed Female",2,"Adoption",2024-10-08,8,2022-04-22,2.19722457733622,0.477121254719662,0.881373587019543,1,1.4142135623731
"435","A890737","*Ames","Owner Surrender","Normal","Cat","Neutered Male",3,"Adoption",2024-04-02,5,2020-10-11,1.79175946922805,0.602059991327962,1.00505253874238,1,1.73205080756888
"436","A890801","*Scarlett","Stray","Normal","Dog","Intact Female",0.75,"Adoption",2024-02-08,29,2023-04-12,3.40119738166216,0.243038048686294,0.623810716364871,1,0.866025403784439
"437","A890801","*Scarlett","Owner Surrender","Normal","Dog","Spayed Female",1,"Adoption",2024-07-16,139,2023-04-12,4.9416424226093,0.301029995663981,0.693147180559945,1,1
"438","A890862","Ottis","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-10-07,9,2022-10-13,2.30258509299405,0.301029995663981,0.693147180559945,1,1
"439","A890862","Ottis","Stray","Normal","Dog","Neutered Male",1,"Return to Owner",2024-09-16,1,2022-10-13,0.693147180559945,0.301029995663981,0.693147180559945,0,1
"440","A890881","*Meatball Max","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-09-14,65,2021-10-13,4.18965474202643,0.477121254719662,0.881373587019543,1,1.4142135623731
"441","A890881","*Meatball Max","Owner Surrender","Normal","Dog","Neutered Male",3,"Transfer",2024-11-01,35,2021-10-13,3.58351893845611,0.602059991327962,1.00505253874238,0,1.73205080756888
"442","A890900","Tekila","Stray","Normal","Dog","Intact Male",12,"Adoption",2024-08-20,78,2012-06-07,4.36944785246702,1.11394335230684,1.49606798806764,1,3.46410161513775
"443","A890966","Mamacita","Public Assist","Normal","Dog","Intact Female",1,"Return to Owner",2024-04-26,0,2022-10-15,0,0.301029995663981,0.693147180559945,0,1
"444","A891261","Roddy","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-03-23,24,2022-10-19,3.2188758248682,0.301029995663981,0.693147180559945,1,1
"445","A891266","Pinto Bean","Owner Surrender","Normal","Dog","Spayed Female",1,"Adoption",2024-07-02,48,2023-06-01,3.89182029811063,0.301029995663981,0.693147180559945,1,1
"446","A891576","Ausi","Owner Surrender","Normal","Cat","Neutered Male",0.666666666666667,"Adoption",2024-04-19,4,2023-08-16,1.6094379124341,0.221848749616356,0.596909690446534,1,0.816496580927726
"447","A891707","Tyrus","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-08-11,160,2022-10-26,5.08140436498446,0.301029995663981,0.693147180559945,1,1
"448","A891753","Bj","Public Assist","Normal","Dog","Intact Male",2,"Return to Owner",2024-08-19,2,2022-04-30,1.09861228866811,0.477121254719662,0.881373587019543,0,1.4142135623731
"449","A891759","*Tinsel","Owner Surrender","Normal","Cat","Spayed Female",0.25,"Adoption",2024-01-20,8,2023-09-21,2.19722457733622,0.0969100130080564,0.405465108108164,1,0.5
"450","A891784","Eboni","Owner Surrender","Normal","Cat","Intact Male",0.333333333333333,"Adoption",2024-01-23,3,2023-08-27,1.38629436111989,0.1249387366083,0.455746394408326,1,0.577350269189626
"451","A891823","*Milk Duddy","Owner Surrender","Normal","Dog","Neutered Male",2,"Adoption",2024-11-20,315,2022-01-10,5.75574221358691,0.477121254719662,0.881373587019543,1,1.4142135623731
"452","A891850","Leo","Owner Surrender","Normal","Dog","Neutered Male",2,"Return to Owner",2024-10-23,2,2021-10-28,1.09861228866811,0.477121254719662,0.881373587019543,0,1.4142135623731
"453","A891853","Thumper","Public Assist","Normal","Dog","Intact Male",3,"Return to Owner",2024-08-12,1,2020-10-28,0.693147180559945,0.602059991327962,1.00505253874238,0,1.73205080756888
"454","A891862","Commet","Public Assist","Normal","Dog","Neutered Male",12,"Return to Owner",2024-01-18,0,2011-12-23,0,1.11394335230684,1.49606798806764,0,3.46410161513775
"455","A891968","Zeus","Stray","Normal","Dog","Neutered Male",0.583333333333333,"Adoption",2024-05-15,4,2023-10-15,1.6094379124341,0.199572354905204,0.567449377001813,1,0.763762615825973
"456","A892097","*Dude","Owner Surrender","Normal","Dog","Neutered Male",3,"Adoption",2024-03-24,67,2020-04-03,4.21950770517611,0.602059991327962,1.00505253874238,1,1.73205080756888
"457","A892174","Stella","Owner Surrender","Normal","Cat","Spayed Female",2,"Adoption",2024-02-05,3,2021-11-02,1.38629436111989,0.477121254719662,0.881373587019543,1,1.4142135623731
"458","A892225","Pepto","Owner Surrender","Medical","Dog","Neutered Male",1,"Transfer",2024-10-03,0,2023-09-10,0,0.301029995663981,0.693147180559945,0,1
"459","A892362","Lucky","Owner Surrender","Normal","Dog","Spayed Female",2,"Adoption",2024-06-08,9,2021-11-04,2.30258509299405,0.477121254719662,0.881373587019543,1,1.4142135623731
"460","A892439","Owl","Owner Surrender","Normal","Cat","Spayed Female",0.333333333333333,"Adoption",2024-01-24,1,2023-09-06,0.693147180559945,0.1249387366083,0.455746394408326,1,0.577350269189626
"461","A892441","Squirrel","Owner Surrender","Normal","Cat","Spayed Female",0.333333333333333,"Adoption",2024-01-24,1,2023-09-06,0.693147180559945,0.1249387366083,0.455746394408326,1,0.577350269189626
"462","A892514","Tibby","Owner Surrender","Normal","Cat","Spayed Female",0.416666666666667,"Transfer",2024-02-01,2,2023-08-07,1.09861228866811,0.151267675330649,0.498042602598196,0,0.645497224367903
"463","A892867","*Orion","Owner Surrender","Normal","Dog","Neutered Male",1,"Adoption",2024-01-27,22,2023-01-11,3.13549421592915,0.301029995663981,0.693147180559945,1,1
"464","A892867","*Orion","Owner Surrender","Behavior","Dog","Neutered Male",1,"Adoption",2024-12-13,76,2023-01-11,4.34380542185368,0.301029995663981,0.693147180559945,1,1
"465","A892868","Toots","Stray","Normal","Cat","Intact Female",1,"Return to Owner",2024-06-11,1,2022-11-11,0.693147180559945,0.301029995663981,0.693147180559945,0,1
"466","A893540","Passion","Stray","Medical","Dog","Intact Female",1,"Adoption",2024-10-07,189,2022-11-22,5.24702407216049,0.301029995663981,0.693147180559945,1,1
"467","A893540","Passion","Stray","Medical","Dog","Intact Female",1,"Rto-Adopt",2024-04-27,26,2022-11-22,3.29583686600433,0.301029995663981,0.693147180559945,0,1
"468","A893540","Passion","Public Assist","Normal","Dog","Intact Female",1,"Rto-Adopt",2024-04-27,31,2022-11-22,3.46573590279973,0.301029995663981,0.693147180559945,0,1
"469","A893540","Passion","Public Assist","Normal","Dog","Intact Female",1,"Return to Owner",2024-03-28,1,2022-11-22,0.693147180559945,0.301029995663981,0.693147180559945,0,1
"470","A893540","Passion","Public Assist","Normal","Dog","Spayed Female",1,"Adoption",2024-10-07,4,2022-11-22,1.6094379124341,0.301029995663981,0.693147180559945,1,1
"471","A893578","Tiger","Stray","Normal","Dog","Neutered Male",0.833333333333333,"Return to Owner",2024-02-17,1,2023-03-24,0.693147180559945,0.263241434774581,0.648605217808274,0,0.912870929175277
"472","A893579","Arnie","Public Assist","Normal","Dog","Neutered Male",2,"Return to Owner",2024-04-20,4,2021-11-23,1.6094379124341,0.477121254719662,0.881373587019543,0,1.4142135623731
"473","A893579","Arnie","Stray","Normal","Dog","Neutered Male",2,"Return to Owner",2024-04-20,39,2021-11-23,3.68887945411394,0.477121254719662,0.881373587019543,0,1.4142135623731
"474","A893579","Arnie","Stray","Normal","Dog","Neutered Male",2,"Return to Owner",2024-03-13,1,2021-11-23,0.693147180559945,0.477121254719662,0.881373587019543,0,1.4142135623731
