Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A903131,,04/29/2024 04:42:00 PM,Apr 2024,02/27/2024,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Gray Tabby
A903397,A903397,04/29/2024 05:07:00 PM,Apr 2024,04/07/2024,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A903399,A903399,04/29/2024 05:07:00 PM,Apr 2024,04/07/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A903400,A903400,04/29/2024 05:07:00 PM,Apr 2024,04/07/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby
A903401,A903401,04/29/2024 05:08:00 PM,Apr 2024,04/07/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby
A903434,A903434,04/29/2024 05:08:00 PM,Apr 2024,04/14/2024,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Silver Tabby
A903403,A903403,04/29/2024 05:08:00 PM,Apr 2024,04/07/2024,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby
A903402,A903402,04/29/2024 05:08:00 PM,Apr 2024,04/07/2024,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A883648,Zeus,04/29/2024 05:12:00 PM,Apr 2024,06/21/2021,Rto-Adopt,,Dog,Neutered Male,2 years,Alaskan Husky/German Shepherd,Cream/White
A903180,Motzy,04/29/2024 05:15:00 PM,Apr 2024,02/12/2024,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A903133,,04/29/2024 05:26:00 PM,Apr 2024,02/27/2024,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby
A902998,Whiskey Pickles,04/29/2024 05:35:00 PM,Apr 2024,06/24/2023,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair,Orange Tabby
A903179,A903179,04/29/2024 05:36:00 PM,Apr 2024,02/26/2024,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby
A903383,,04/29/2024 05:37:00 PM,Apr 2024,04/29/2023,Transfer,Partner,Dog,Intact Female,1 year,Black Mouth Cur,Brown/Black
A903407,,04/29/2024 05:38:00 PM,Apr 2024,04/29/2023,Transfer,Partner,Dog,Intact Female,1 year,Black Mouth Cur,Brown/Black
A902780,,04/29/2024 05:38:00 PM,Apr 2024,03/22/2024,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,White/Blue Tabby
A903398,,04/29/2024 05:38:00 PM,Apr 2024,04/29/2023,Transfer,Partner,Dog,Intact Male,1 year,Black Mouth Cur,Brown/Black
A903414,,04/29/2024 05:38:00 PM,Apr 2024,04/29/2023,Transfer,Partner,Dog,Intact Male,1 year,Black Mouth Cur,Brown/Black
A902779,,04/29/2024 05:40:00 PM,Apr 2024,03/22/2024,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Blue Tabby
A903405,,04/29/2024 05:41:00 PM,Apr 2024,04/29/2022,Transfer,Partner,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Brown/White
A903419,,04/29/2024 05:41:00 PM,Apr 2024,04/22/2024,Transfer,Partner,Dog,Unknown,1 week,Australian Cattle Dog Mix,Brown/White
A903420,,04/29/2024 05:42:00 PM,Apr 2024,04/22/2024,Transfer,Partner,Dog,Unknown,1 week,Australian Cattle Dog Mix,Brown/White
A903421,,04/29/2024 05:42:00 PM,Apr 2024,04/22/2024,Transfer,Partner,Dog,Unknown,1 week,Australian Cattle Dog Mix,Brown/White
A903422,,04/29/2024 05:43:00 PM,Apr 2024,04/22/2024,Transfer,Partner,Dog,Unknown,1 week,Australian Cattle Dog Mix,Black/White
A903423,,04/29/2024 05:43:00 PM,Apr 2024,04/22/2024,Transfer,Partner,Dog,Unknown,1 week,Australian Cattle Dog Mix,White/Black
A903040,Oatchi,04/29/2024 06:06:00 PM,Apr 2024,02/24/2024,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,White/Orange Tabby
A902905,Dinah,04/29/2024 06:29:00 PM,Apr 2024,04/23/2023,Adoption,,Cat,Neutered Male,1 year,Siamese Mix,Lynx Point/White
A902831,,04/29/2024 06:39:00 PM,Apr 2024,02/14/2024,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A903471,,04/29/2024 07:50:00 PM,Apr 2024,04/22/2024,Died,In Kennel,Cat,Unknown,1 week,Domestic Shorthair,Black
A901163,Peaches,04/30/2024 12:00:00 AM,Apr 2024,03/02/2024,Adoption,,Dog,Spayed Female,1 month,Chihuahua Shorthair Mix,Buff
A902545,Blue,04/30/2024 12:00:00 AM,Apr 2024,04/23/2023,Adoption,,Dog,Neutered Male,1 year,Rat Terrier,White/Tricolor
A901823,*Brick,04/30/2024 08:15:00 AM,Apr 2024,04/09/2023,Adoption,Foster,Dog,Neutered Male,1 year,Basenji Mix,Brown Brindle/White
A879972,*Pecan,04/30/2024 08:19:00 AM,Apr 2024,05/03/2021,Adoption,Foster,Dog,Neutered Male,2 years,Chinese Sharpei,Tan
A903134,Sofie,04/30/2024 10:20:00 AM,Apr 2024,02/27/2024,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair,Gray Tabby
A902371,*Monfrere,04/30/2024 10:54:00 AM,Apr 2024,04/16/2022,Adoption,,Dog,Neutered Male,2 years,Chow Chow Mix,Yellow
A901750,Remington Steel,04/30/2024 11:15:00 AM,Apr 2024,04/07/2022,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Blue
A903172,138 Grams,04/30/2024 11:54:00 AM,Apr 2024,04/11/2024,Died,Emergency,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby
A902947,Hannah,04/30/2024 12:06:00 PM,Apr 2024,10/23/2022,Adoption,,Dog,Spayed Female,1 year,Miniature Schnauzer Mix,Brown/Tan
A898644,*Roy,04/30/2024 12:27:00 PM,Apr 2024,02/21/2022,Transfer,Partner,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Black/White
A655122,*Mango,04/30/2024 12:46:00 PM,Apr 2024,04/28/2013,Transfer,Partner,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Brown Tabby/White
A901359,*Beverly,04/30/2024 12:47:00 PM,Apr 2024,04/01/2023,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Black/White
A903391,,04/30/2024 12:47:00 PM,Apr 2024,04/29/2019,Transfer,Partner,Dog,Intact Male,5 years,Bulldog,White
A902806,,04/30/2024 12:48:00 PM,Apr 2024,05/22/2023,Transfer,Partner,Cat,Intact Male,11 months,Domestic Shorthair,Black/White
A900605,Bruce,04/30/2024 01:10:00 PM,Apr 2024,04/22/2023,Adoption,Foster,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Tan/Black
A897218,*Polly,04/30/2024 01:16:00 PM,Apr 2024,12/29/2023,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A898673,Shylo,04/30/2024 01:21:00 PM,Apr 2024,03/04/2023,Adoption,Foster,Dog,Spayed Female,1 year,German Shepherd/Bloodhound,Tan/Black
A902449,,04/30/2024 01:24:00 PM,Apr 2024,03/10/2024,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Blue Tabby
A902446,,04/30/2024 01:24:00 PM,Apr 2024,04/17/2023,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Torbie
A902447,,04/30/2024 01:24:00 PM,Apr 2024,03/10/2024,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A902448,,04/30/2024 01:24:00 PM,Apr 2024,03/10/2024,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A903166,A903166,04/30/2024 01:25:00 PM,Apr 2024,03/26/2024,Transfer,Partner,Cat,Intact Female,5 weeks,Domestic Shorthair Mix,Black/White
A903165,A903165,04/30/2024 01:25:00 PM,Apr 2024,03/26/2024,Transfer,Partner,Cat,Intact Female,5 weeks,Domestic Shorthair Mix,Black
A903162,A903162,04/30/2024 01:25:00 PM,Apr 2024,04/26/2022,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A903163,A903163,04/30/2024 01:25:00 PM,Apr 2024,03/26/2024,Transfer,Partner,Cat,Intact Female,5 weeks,Domestic Shorthair Mix,Brown Tabby/White
A902450,,04/30/2024 01:25:00 PM,Apr 2024,03/21/2024,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,White/Brown Tabby
A903164,A903164,04/30/2024 01:25:00 PM,Apr 2024,03/26/2024,Transfer,Partner,Cat,Intact Female,5 weeks,Domestic Shorthair Mix,Brown Tabby
A903459,,04/30/2024 01:26:00 PM,Apr 2024,04/12/2024,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Flame Point
A903104,Ares,04/30/2024 03:15:00 PM,Apr 2024,01/26/2024,Transfer,Partner,Dog,Intact Male,3 months,Pit Bull,Blue/White
A903105,Hera,04/30/2024 03:16:00 PM,Apr 2024,01/26/2024,Transfer,Partner,Dog,Intact Female,3 months,Pit Bull,Blue/White
A902816,Totoro,04/30/2024 03:20:00 PM,Apr 2024,04/27/2018,Adoption,,Cat,Neutered Male,6 years,Domestic Longhair,Blue
A898915,*Tony,04/30/2024 04:25:00 PM,Apr 2024,03/28/2023,Adoption,,Dog,Neutered Male,1 year,Rottweiler,Brown
A902516,Jagger,04/30/2024 05:00:00 PM,Apr 2024,11/18/2023,Rto-Adopt,,Dog,Neutered Male,5 months,Pointer/Pit Bull,White/Cream
A903528,116 Grams,04/30/2024 05:04:00 PM,Apr 2024,04/28/2024,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair,Brown Tabby
A903064,,04/30/2024 05:16:00 PM,Apr 2024,03/30/2024,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue/White
A903065,,04/30/2024 05:16:00 PM,Apr 2024,03/30/2024,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby
A903066,,04/30/2024 05:16:00 PM,Apr 2024,03/30/2024,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby/White
A902912,Benji,04/30/2024 05:18:00 PM,Apr 2024,04/23/2023,Adoption,,Dog,Neutered Male,1 year,Soft Coated Wheaten Terrier,White
A903186,Bella Rose,04/30/2024 05:29:00 PM,Apr 2024,03/20/2023,Transfer,Partner,Other,Unknown,1 year,Angora-English Mix,Buff
A903194,,04/30/2024 05:31:00 PM,Apr 2024,04/26/2023,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Lynx Point
A902923,Cletus,04/30/2024 05:39:00 PM,Apr 2024,02/27/2024,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A903033,,04/30/2024 05:47:00 PM,Apr 2024,04/24/2021,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair,Tortie
A902954,Berry,04/30/2024 05:54:00 PM,Apr 2024,04/23/2022,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A903086,*Troubadour,04/30/2024 06:42:00 PM,Apr 2024,04/25/2023,Adoption,,Dog,Neutered Male,1 year,Doberman Pinsch,Black/Red
A903390,Peaches,05/01/2024 11:28:00 AM,May 2024,04/29/2018,Adoption,,Dog,Spayed Female,6 years,Maltese/Miniature Poodle,Buff
A902582,Blu,05/01/2024 11:40:00 AM,May 2024,04/18/2018,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair,Tortie Point
A903590,Freddie,05/01/2024 11:59:00 AM,May 2024,04/17/2020,Return to Owner,,Dog,Neutered Male,4 years,Rat Terrier/Chihuahua Shorthair,Tricolor/Tan
A903618,,05/01/2024 01:08:00 PM,May 2024,04/01/2024,Died,In Kennel,Cat,Intact Male,4 weeks,Domestic Shorthair,Orange
A903233,,05/01/2024 01:20:00 PM,May 2024,11/27/2022,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair,Black/White
A901701,,05/01/2024 01:52:00 PM,May 2024,02/01/2024,Adoption,Foster,Dog,Neutered Male,2 months,Border Collie,Black/White
A903623,,05/01/2024 04:28:00 PM,May 2024,04/09/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A903625,,05/01/2024 04:29:00 PM,May 2024,04/09/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Torbie/White
A903649,,05/01/2024 04:30:00 PM,May 2024,04/19/2024,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair,Torbie/Orange
A903650,,05/01/2024 04:30:00 PM,May 2024,04/19/2024,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Medium Hair,Tortie/Black
A903648,,05/01/2024 04:30:00 PM,May 2024,04/19/2024,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair,Orange/White
A903251,Penny,05/01/2024 05:36:00 PM,May 2024,04/27/2023,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Gold
A903734,,05/02/2024 10:25:00 AM,May 2024,03/26/2024,Died,In Kennel,Dog,Intact Female,1 month,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan
A903250,,05/02/2024 10:36:00 AM,May 2024,04/27/2019,Transfer,Snr,Cat,Intact Male,5 years,Domestic Shorthair,White/Black
A903534,A903534,05/02/2024 10:36:00 AM,May 2024,04/30/2023,Transfer,Snr,Cat,Intact Male,1 year,Domestic Medium Hair,Brown Tabby
A903240,,05/02/2024 10:37:00 AM,May 2024,04/27/2023,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tiger
A903585,,05/02/2024 10:37:00 AM,May 2024,04/30/2022,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Black
A903580,,05/02/2024 12:04:00 PM,May 2024,04/30/2023,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Black
A898027,*Pipi,05/02/2024 12:31:00 PM,May 2024,02/10/2023,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A903495,,05/02/2024 12:49:00 PM,May 2024,04/30/2022,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair,White/Brown
A830502,Bella,05/02/2024 01:00:00 PM,May 2024,12/29/2020,Adoption,Foster,Dog,Spayed Female,3 years,Boxer Mix,Tricolor
A900460,*Chili Dog,05/02/2024 01:11:00 PM,May 2024,03/20/2022,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever,Black/White
A895189,*Stubbs,05/02/2024 01:12:00 PM,May 2024,12/05/2023,Adoption,Foster,Dog,Neutered Male,4 months,Belgian Malinois Mix,Brown
A895187,*Maggs,05/02/2024 01:13:00 PM,May 2024,12/05/2023,Adoption,Foster,Dog,Spayed Female,4 months,Belgian Malinois Mix,Brown/Tan
A903331,,05/02/2024 01:24:00 PM,May 2024,04/28/2023,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Shorthair,Orange
A900583,,05/02/2024 01:55:00 PM,May 2024,02/27/2024,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A900581,,05/02/2024 02:00:00 PM,May 2024,02/27/2024,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A900582,,05/02/2024 02:01:00 PM,May 2024,02/27/2024,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A900584,,05/02/2024 02:23:00 PM,May 2024,02/27/2024,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A900585,,05/02/2024 02:24:00 PM,May 2024,02/27/2024,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A903737,221 Grams,05/02/2024 02:24:00 PM,May 2024,04/17/2024,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue Tabby
A903739,,05/02/2024 02:28:00 PM,May 2024,04/10/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Torbie
A903740,,05/02/2024 02:29:00 PM,May 2024,04/10/2024,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A903743,,05/02/2024 02:29:00 PM,May 2024,04/10/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Blue Tabby
A903741,,05/02/2024 02:29:00 PM,May 2024,04/10/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Torbie
A903742,,05/02/2024 02:29:00 PM,May 2024,04/10/2024,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Black Tabby
A903744,,05/02/2024 02:30:00 PM,May 2024,04/10/2024,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Orange Tabby
A903713,Kobe,05/02/2024 03:16:00 PM,May 2024,05/02/2016,Return to Owner,,Dog,Intact Male,8 years,Chihuahua Shorthair,Tan/White
A902399,*Frankie,05/02/2024 03:52:00 PM,May 2024,04/16/2022,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Lynx Point
A903279,,05/02/2024 04:03:00 PM,May 2024,02/27/2024,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A903464,Sandra (Maki),05/02/2024 04:04:00 PM,May 2024,05/23/2023,Adoption,,Cat,Spayed Female,11 months,Domestic Shorthair,Blue Tabby
A903386,Pebbles,05/02/2024 04:21:00 PM,May 2024,04/29/2018,Adoption,,Dog,Spayed Female,6 years,Maltese/Miniature Poodle,Brown/Black
A902733,Race,05/02/2024 04:28:00 PM,May 2024,04/20/2022,Return to Owner,Prc,Dog,Intact Male,2 years,American Bulldog,White
A903323,Eva,05/02/2024 04:46:00 PM,May 2024,02/13/2024,Adoption,,Dog,Spayed Female,2 months,German Shepherd,Brown
A902924,Chica,05/02/2024 04:55:00 PM,May 2024,02/27/2024,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A903257,,05/02/2024 05:02:00 PM,May 2024,04/27/2020,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair,White
A903263,Nico,05/02/2024 05:12:00 PM,May 2024,04/27/2020,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair,Blue
A903262,Shiro,05/02/2024 05:13:00 PM,May 2024,04/27/2020,Adoption,,Cat,Spayed Female,4 years,Domestic Medium Hair,White
A893303,*Bransa,05/02/2024 06:09:00 PM,May 2024,11/19/2021,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A884702,Snipa,05/02/2024 06:14:00 PM,May 2024,07/07/2021,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A903277,Avocado,05/02/2024 06:19:00 PM,May 2024,02/27/2024,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A903178,Princess,05/02/2024 06:24:00 PM,May 2024,10/26/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby/White
A894237,*Jarvis,05/02/2024 06:33:00 PM,May 2024,12/05/2021,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A889655,Loki,05/02/2024 06:42:00 PM,May 2024,06/10/2023,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/Black
A903747,,05/02/2024 07:23:00 PM,May 2024,01/02/2024,Transfer,Partner,Dog,Intact Male,3 months,Pit Bull,Black
A867245,*Twister,05/03/2024 12:00:00 AM,May 2024,10/13/2020,Adoption,,Dog,Neutered Male,3 years,Pit Bull,Blue/White
A903450,Stacy*,05/03/2024 12:00:00 AM,May 2024,04/29/2023,Transfer,Partner,Dog,Intact Female,1 year,Jack Russell Terrier,White/Brown
A903781,Lyla,05/03/2024 09:10:00 AM,May 2024,05/03/2007,Return to Owner,Field,Dog,Spayed Female,17 years,Border Collie/Collie Rough,Black/White
A903597,,05/03/2024 09:51:00 AM,May 2024,05/01/2023,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Black/Gray
A903015,*Courvoisier,05/03/2024 11:38:00 AM,May 2024,04/24/2022,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Blue Tabby/White
A900391,*Gretel,05/03/2024 12:20:00 PM,May 2024,02/19/2024,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Brown/White
A903784,98 Grams,05/03/2024 01:13:00 PM,May 2024,05/01/2024,Transfer,Partner,Cat,Intact Female,2 days,Domestic Shorthair,Calico
A903368,,05/03/2024 01:24:00 PM,May 2024,04/29/2023,Disposal,,Dog,Intact Male,1 year,Labrador Retriever Mix,Black
A902618,Danny,05/03/2024 01:32:00 PM,May 2024,03/04/2024,Adoption,,Dog,Intact Female,1 month,Alaskan Husky Mix,Tricolor
A902994,Buddy,05/03/2024 01:38:00 PM,May 2024,04/24/2021,Transfer,Partner,Dog,Intact Male,3 years,English Bulldog Mix,Brown/White
A557091,Bartina,05/03/2024 02:58:00 PM,May 2024,09/30/2007,Adoption,,Cat,Spayed Female,16 years,Domestic Shorthair Mix,Brown Tabby
A903809,289 Grams,05/03/2024 03:01:00 PM,May 2024,04/03/2024,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Orange/White
A903811,276 Grams,05/03/2024 03:02:00 PM,May 2024,04/03/2024,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black/White
A903814,321 Grams,05/03/2024 03:02:00 PM,May 2024,04/03/2024,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Cream
A903815,291 Grams,05/03/2024 03:02:00 PM,May 2024,04/03/2024,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Cream
A903813,234 Grams,05/03/2024 03:02:00 PM,May 2024,04/03/2024,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair,Black
A903810,310 Grams,05/03/2024 03:02:00 PM,May 2024,04/03/2024,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Medium Hair,Orange Tabby
A899954,Oso,05/03/2024 04:06:00 PM,May 2024,03/13/2020,Adoption,,Dog,Neutered Male,4 years,German Shepherd,White
A902909,Starla,05/03/2024 04:08:00 PM,May 2024,02/23/2024,Adoption,,Dog,Spayed Female,2 months,Rottweiler/Labrador Retriever,Black/Brown
A901573,Roo,05/03/2024 04:12:00 PM,May 2024,12/04/2023,Adoption,Foster,Dog,Neutered Male,4 months,Rat Terrier/Chihuahua Shorthair,Tricolor
A903415,Chani,05/03/2024 04:19:00 PM,May 2024,04/29/2023,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie
A810182,Mo,05/03/2024 04:22:00 PM,May 2024,12/09/2011,Transfer,Partner,Dog,Neutered Male,12 years,American Bulldog/Queensland Heeler,White/Red Tick
A903836,Chaparro,05/03/2024 04:48:00 PM,May 2024,03/03/2024,Transfer,Partner,Dog,Intact Male,1 month,Wire Hair Fox Terrier,White/Black
A902983,*Agnes,05/03/2024 04:56:00 PM,May 2024,02/02/2024,Adoption,,Dog,Spayed Female,2 months,Treeing Cur,Tan/Black
A902916,Henrieta,05/03/2024 05:11:00 PM,May 2024,04/23/2023,Adoption,,Dog,Spayed Female,1 year,Rat Terrier,White/Black
A885194,Starlight*,05/03/2024 05:13:00 PM,May 2024,04/29/2023,Transfer,Partner,Dog,Intact Female,1 year,Labrador Retriever/Pit Bull,Brown Brindle/Black
A903307,Dottie,05/03/2024 05:20:00 PM,May 2024,07/28/2023,Adoption,,Dog,Spayed Female,9 months,Dachshund,White/Black
A903394,Leiry,05/03/2024 05:31:00 PM,May 2024,09/29/2023,Adoption,,Dog,Spayed Female,7 months,Chihuahua Shorthair/Rat Terrier,Tricolor
A901253,Ham,05/03/2024 05:37:00 PM,May 2024,11/30/2023,Adoption,,Cat,Neutered Male,5 months,Domestic Medium Hair,Blue Smoke
A902932,Nova,05/03/2024 05:41:00 PM,May 2024,08/23/2023,Adoption,,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black/White
A901664,Lili,05/03/2024 06:12:00 PM,May 2024,04/05/2023,Adoption,,Dog,Spayed Female,1 year,Siberian Husky,White/White
A903192,Charlie,05/03/2024 06:16:00 PM,May 2024,03/01/2023,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby/White
A903168,Riley,05/03/2024 06:26:00 PM,May 2024,04/26/2022,Rto-Adopt,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A900657,*Custard,05/04/2024 12:00:00 AM,May 2024,06/22/2023,Adoption,,Dog,Spayed Female,10 months,Basenji Mix,Brown/White
A903340,Dipper,05/04/2024 12:00:00 AM,May 2024,04/28/2018,Adoption,,Cat,Neutered Male,6 years,Domestic Shorthair,Black/White
A895864,Thor,05/04/2024 12:00:00 AM,May 2024,01/05/2023,Adoption,,Dog,Neutered Male,1 year,Rottweiler/Labrador Retriever,Black/Brown
A886700,*Mae,05/04/2024 09:09:00 AM,May 2024,05/18/2023,Adoption,Foster,Dog,Spayed Female,11 months,Labrador Retriever Mix,Tan/White
A903341,Castle,05/04/2024 11:50:00 AM,May 2024,10/28/2018,Adoption,,Cat,Neutered Male,5 years,Domestic Longhair,White/Black
A903753,Izzy,05/04/2024 12:48:00 PM,May 2024,11/04/2019,Return to Owner,,Dog,Spayed Female,4 years,Dachshund,White/White
A874417,Rocket,05/04/2024 01:06:00 PM,May 2024,12/11/2022,Adoption,,Dog,Neutered Male,1 year,Australian Kelpie Mix,Chocolate/White
A898295,*Justice,05/04/2024 01:39:00 PM,May 2024,02/15/2019,Adoption,Foster,Dog,Neutered Male,5 years,German Shepherd/Siberian Husky,Tan/Black
A901613,Max,05/04/2024 01:45:00 PM,May 2024,09/22/2016,Transfer,Partner,Cat,Neutered Male,7 years,Himalayan Mix,Seal Point
A903896,271 Grams,05/04/2024 02:23:00 PM,May 2024,04/19/2024,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A903553,Gollo,05/04/2024 02:24:00 PM,May 2024,04/30/2017,Transfer,Partner,Cat,Intact Male,7 years,Domestic Shorthair Mix,White/Orange Tabby
A902031,*Riker,05/04/2024 04:22:00 PM,May 2024,04/11/2021,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,Black/White
A901319,*Fleur,05/04/2024 04:39:00 PM,May 2024,10/15/2023,Transfer,Partner,Dog,Intact Female,6 months,Basenji/Labrador Retriever,Yellow Brindle/White
A901033,Sincere,05/04/2024 04:53:00 PM,May 2024,03/27/2023,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
A903912,Tank,05/04/2024 05:19:00 PM,May 2024,05/04/2016,Return to Owner,,Dog,Neutered Male,8 years,Great Dane,Gray/Black
A903497,*Linda,05/04/2024 05:24:00 PM,May 2024,03/06/2024,Adoption,,Dog,Intact Female,1 month,Labrador Retriever Mix,White
A903922,406 Grams,05/04/2024 05:51:00 PM,May 2024,04/04/2024,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby
A903921,220 Grams,05/04/2024 05:51:00 PM,May 2024,04/04/2024,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Tortie/White
A903812,A903812,05/04/2024 05:52:00 PM,May 2024,05/03/2022,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Black
A903804,,05/04/2024 05:52:00 PM,May 2024,04/13/2024,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Calico/Orange
